Line #,st,en Version,ka Translation
427,ka.app.common.shortened_url,Short URL,მოკლე ბმული
428,ka.app.common.share_story,Share this story,ამბის გაზიარება
429,ka.app.common.share_facebook,Share on Facebook,Facebook-ზე გაზიარება
430,ka.app.common.share_twitter,Share on Twitter,Twitter-ზე გაზიარება
431,ka.app.common.share,Share,გაზიარება
432,ka.app.common.staff_pick,Staff Pick,რჩეული
433,ka.app.common.wide,wide,(სიგანე)
434,ka.app.common.partial,Link to Story,ამბის ბმული
435,ka.app.common.partial_text,"Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)","გამოიყენე ისეთი ჩასასმელი ბმული, რომელსაც აქვს იგივე სახე, რაც ამბებს “Chai Khanaს” საწყის გვერდზე (ფოტო, სათაური, ავტორი, თარიღი, და ა.შ.)"
436,ka.app.common.full,Full Story,სრული ამბავი
437,ka.app.common.full_text,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.,"გადაიტანე ამბის სრული ვერსია სხვა საიტზე. ჩვენ გირჩევთ, გამოიყენოთ მაქსიმალური სიგანე, რათა მიიღოთ უკეთესი გამოსახულება."
438,ka.app.common.feed,Chai Khana Feeds,"""ჩაი ხანას"" სიახლეების ველი"
439,ka.app.common.home,Home,მთავარი
440,ka.app.common.required,Required,სავალდებულო
441,ka.app.common.nothing_selected,Nothing Selected,არ არის არჩეული
442,ka.app.common.clone_asset,Use the original file?,გამოვიყენოთ საწყისი ფაილის?
443,ka.app.common.embed,Embed Code,კოდის ჩასმა
444,ka.app.common.scroll_top,Scroll to the top,მაღლა ასვლა
445,ka.app.msgs.does_not_exist,You tried to access a page that does not exist.,"თქვენ ცდილობთ ისეთი გვერდის ნახვას, რომელიც არ არსებობს."
446,ka.app.msgs.not_authorized,You are not authorized to view that page.,თქვენ არ გაქვთ ამ გვერდის ნახვის უფლება.
447,ka.app.msgs.success_created,%{obj} was successfully created.,%{obj} შექმნილია.
448,ka.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} განახლებულია.
449,ka.app.msgs.success_publish,%{obj} was successfully published.,%{obj} გამოქვეყნებულია.
450,ka.app.msgs.success_unpublish,%{obj} was successfully unpublished.,%{obj}ის გამოქვეყნება გაუქმებულია.
451,ka.app.msgs.success_clone,%{obj} was successfully cloned to %{to}.,%{obj}-ის კლონი შექმნილია: %{to}.
452,ka.app.msgs.error_created,%{obj} wasn't created: %{err},%{obj} არ შექმნილა: %{err}
453,ka.app.msgs.error_updated,%{obj} wasn't updated: %{err},%{obj} არ განახლებულა: %{err}
454,ka.app.msgs.error_publish,%{obj} wasn't published: %{err},%{obj} არ გამოქვეყნებულა: %{err}
455,ka.app.msgs.error_publish_missing_fields,%{obj} can't be published until you provide a summary and thumbnail image.,"%{obj} ვერ გამოქვეყნებული, სანამ არ დაამატებთ მოკლე შინაარსს და ფოტოს."
456,ka.app.msgs.error_publish_missing_fields_link,Add the missing content.,დაამატეთ გამოტოვებული კონტენტი.
457,ka.app.msgs.error_publish_missing_sections,At least one Section required before publishing.,ერთი სექცია მაინც არის საჭირო სანამ გამოაქვეყნებთ.
458,ka.app.msgs.error_publish_missing_content_section,All Text Sections must have content in it.,ამბის გამოქვეყნებისთვის აუცილებელია სულ მცირე ერთი სექცია.
459,ka.app.msgs.error_publish_missing_translations,The story must be completely translated in %{lang} in order to be published.,ამბავი უნდა იყოს სრულად ნათარბმნი %{lang} ენაზე სანამ გამოაქვეყნებთ.
460,ka.app.msgs.error_unpublish,%{obj} wasn't unpublished: %{err},%{obj} გამოქვეყნება გაუქმებულია: %{err}
461,ka.app.msgs.error_clone,%{obj} wasn't cloned.,%{obj} კლონირება ვერ გაკეთდა.
462,ka.app.msgs.error_clone_notification,Error occurred while cloning story: %{msg},დაფიქსირდა შეცდომა შემდეგი ამბის კლონირების დროს: %{msg}
463,ka.app.msgs.error_export,Story can't be downloaded.,ამბის ჩამოტვირთვა შეუძლებელია
464,ka.app.msgs.error_get_data,The selected item could not be found,არჩეული ერთეული ვერ მოიძებნა
465,ka.app.msgs.select_section,Please select a Section first in order to add an Item,"ერთეულის დამატებამდე, გთხოვთ, აირჩიოთ სექცია"
466,ka.app.msgs.staff_pick,The story has been selected as a Staff Pick,ამბავი რჩეულში იქნა დამატებული
467,ka.app.msgs.staff_unpick,The story has been unselected as a Staff Pick,ამბავი დაემატა რჩეულებს
468,ka.app.msgs.success_settings,Your settings were successfully updated.,თქვენი პარამეტრები წარმატებით განახლდა.
469,ka.app.msgs.success_remove_avatar,Your Facebook avatar is now being used.,პროფილის სურათად თქვენი გვერდის Facebook-ის პროფილის სურათია გამოყენებული.
470,ka.app.msgs.nickname_duplicate,This user URL already exists.,მომხმარებელი ამ ბმულით უკვე არსებობს.
471,ka.app.msgs.nickname_url,Your URL will be:,თქვენი მომხმარებლის ბმული იქნება:
472,ka.app.msgs.story_duplicate,This story URL already exists.,ამ ამბის ბმული უკვე არსებობს.
473,ka.app.msgs.story_url,Story URL will be:,ამ ამბის ბმული იქნება:
474,ka.app.msgs.update_translations,Don't forget to translate this new item!,Don't forget to translate this new item!
475,ka.app.msgs.invitation.accepted,You have accepted the invitation to collaborate on '%{title}',თქვენ დათანხმდით თანაავტორობის მოწვევას შემდეგ ამბავზე: '%{title}'
476,ka.app.msgs.invitation.accepted_already,You have already accepted the invitation to collaborate on '%{title}',თქვენ უკვე დათანხმდით თანაავტორობის მოწვევას შემდეგ ამბავზე: '%{title}'
477,ka.app.msgs.invitation.bad,"Sorry, your invitation could not be found or the story has been deleted.","უკაცრავად, თქვენი მოწვევა ვერ მოიძებნა ან ამბავი არის წაშლილი."
478,ka.app.msgs.invitation.declined,Your invitation was declined,თქვენი მოწვევა გაუქმებულია
479,ka.app.msgs.one_section.content,Only one Item can be added to a Text section,ტექსტურ სექციაში მხოლოდ ერთი ერთეულის დამატებაა შესაძლებელი
480,ka.app.msgs.one_section.slideshow,Only one Item can be added to an Image Slideshow section,ფოტო სლაიდშოუს სექციაში მხოლოდ ერთი ერთეულის დამატებაა შესაძლებელი
481,ka.app.msgs.one_section.embed_media,Only one Item can be added to an Embed Online Media section,ონლაინ აუდიო/ვიდეო სექციაში მხოლოდ ერთი ერთეულის დამატებაა შესაძლებელი
482,ka.app.msgs.one_section.youtube,Only one Item can be added to a YouTube section,მხოლოდ ერთი თემის დამატება არის შესაძლებელი YouTube-ის სექციაში
483,ka.app.msgs.one_section.general,Only one Item can be added to this type of section,მხოლოდ ერთი თემის დამატება არის შესაძლებელი ამ ტიპის სექციაში
484,ka.app.msgs.destroy_story.success,Story was successfully deleted.,ამბავი წაიშალა.
485,ka.app.msgs.destroy_story.error,Error occurred while deleting the story: %{err},ამბის წაშლისას დაფიქსირდა ხარვეზი: %{err}
486,ka.app.msgs.destroy_item.success,Item was successfully deleted.,ერთეული წაიშალა.
487,ka.app.msgs.destroy_item.error,Error occurred while deleting the item: %{err},ერთეულის წაშლისას დაფიქსირდა ხარვეზი: %{err}
488,ka.app.msgs.destroy_item.error_not_found,Item could not be found to delete.,წასაშლელი ერთეული ვერ მოიძებნა.
489,ka.app.msgs.embed_code,Copy and paste this embed code into your web page,დააკოპირეთ და ჩასვით ბმული თქვენს ვებგვერდზე
490,ka.app.msgs.collaborators.success_remove,%{name} was removed as a collaborator,%{name} წაიშალა თანაავტორთა სიიდან
491,ka.app.msgs.collaborators.user_not_found,User to remove as a collaborator could not be found,"მომხმარებელი ვერ მოიძებნა, რათა წაშლილიყო თანაავტორთა სიიდან"
492,ka.app.msgs.collaborators.no_permission,You do not have permission to remove this collaborator,"თქვენ არ გაქვთ უფლება, წაშალოთ ეს მომხმარებელი თანაავტორთა სიიდან"
493,ka.app.msgs.collaborators.success_invitations,Invitations were sent!,მოწვევები გაგზავნილია!
494,ka.app.msgs.collaborators.error_invitations_all,No invitations were sent due to the following erros: %{msg},მოწვევები ვერ გაიგზავნა შემდეგი ხარვეზის გამო: %{msg}
495,ka.app.msgs.collaborators.error_invitations_some,"Some invitations were sent, but some were not due to the following erros: %{msg}",ზოგიერთი მოწვევა ვერ გაიგზავნა შემდეგი ხარვეზის გამო: %{msg}
496,ka.app.msgs.notification.true,You will be sent notifications.,თქვენ მიიღებთ შეტყობინებებს.
497,ka.app.msgs.notification.false,You will not be sent notifications.,თქვენ არ მიიღებთ შეტყობინებებს.
498,ka.app.msgs.notification.new_theme_all_success,You will recieve a notification whenever a theme is added.,"თქვენ მიიღებთ შეტყობინებას, როცა თემა იქნება დამატებული."
499,ka.app.msgs.notification.new_theme_none_success,You will not receive any notifications when themes are added.,"თქვენ არ მიიღებთ შეტყობინებას, როცა თემა იქნება დამატებული."
500,ka.app.msgs.notification.new_story_by_type_success,You will receive a notification when a story is added to these types: %{types}.,"თქვენ მიიღებთ შეტყობინებას, როცა ახალი ამბავი დაემატება შემდებ ტიპებს: %{types}."
501,ka.app.msgs.notification.story_comments_yes,You will be sent notifications when a comment is made to one of your stories.,"თქვენ მიიღებთ შეტყობინებას, როდესაც თქვენს ამბავზე გააკეთებენ კომენტარს."
502,ka.app.msgs.notification.story_comments_no,You will not be sent notifications when a comment is made to one of your stories.,"თქვენ არ მიიღებთ შეტყობინებას, როდესაც თქვენს ამბავზე დატოვებენ კომენტარს."
503,ka.app.msgs.notification.following_no,You will no longer receive notifications about new stories from '%{name}'.,თქვენ აღარ მიიღებთ შეტყობინებებს '%{nickname}ის' ახალი ისტორიების შესახებ.
504,ka.app.msgs.notification.language,You will be sent notifications in %{language}.,თქვენ მიიღებთ შეტყობინებას %{language} ენაზე.
505,ka.app.msgs.fail_change_order,The item was not able to be moved,ერთეულის ადგილი ვერ შეიცვალა
506,ka.app.msgs.nothing_selected,Please select a section/item to delete,"გთხოვთ, აირჩიოთ სექცია/ერთეული წასაშლელად"
507,ka.app.msgs.fail_delete,The section/item could not be deleted,სექცია/ერთეული ვერ წაიშალა
508,ka.app.msgs.confirm_delete,Are you sure you want to delete this section/item?,"დარწმუნებული ხართ, რომ გინდათ ამ სექციის/ერთეულის წაშლა?"
509,ka.app.msgs.confirm_publish,Are you sure you want to publish story?,Are you sure you want to publish story?
510,ka.app.msgs.video_processed,Your video is processed,თქვენი ვიდეო დამუშავებულია
511,ka.app.msgs.video_not_processed,Your video is being processed,თქვენი ვიდეო დამუშავების პროცესშია
512,ka.app.msgs.not_found_for_update,The record to update could not be found in the database.,მასალა რედაქტირებისთვის არ მოიძებნა.
513,ka.section_types.content.name,Text,ტექსტი
514,ka.section_types.content.description,"Can include html, css styling and images","შეიძლება შედგებოდეს html-ისგან, css სტილისგან და ფოტოებისგან"
515,ka.section_types.media.name,Full-Screen Media Slideshow,მთელ ეკრანზე გაშლილი მედია სლაიდშოუ
516,ka.section_types.media.description,Images and/or videos as a full-screen vertical slideshow,"ფოტოები და/ან ვიდეოები განთავსებული, როგორც სრულ ეკრანზე გაშლილი ვერტიკალური სლაიდშოუ"
517,ka.section_types.slideshow.name,Image Slideshow,ფოტო სლაიდშოუ
518,ka.section_types.slideshow.description,Images in a horizontal slideshow,ფოტოები ჰორიზონტალურ სლაიდშოუში
519,ka.section_types.embed_media.name,Embed Online Media,ონლაინ აუდიო/ვიდეო ჩასმა
520,ka.section_types.embed_media.description,"YouTube, Vimeo, etc","YouTube, Vimeo, და ა.შ."
521,ka.section_types.youtube.name,YouTube Video,YouTube Video
522,ka.section_types.youtube.description,YouTube video with ability to setting caption language,YouTube-ის ვედეო წარწერის დამატების შესაძლებლობით
523,ka.section_types.infographic.name,Infographic,Infographic
524,ka.section_types.infographic.description,"Infographic, interactive, or factoids with ability to add datasets and data sources","Infographic, interactive, or factoids with ability to add datasets and data sources"
525,ka.story_role.editor,Editor,რედაქტირება
526,ka.story_role.translator,Translator,თარგმნა
527,ka.message_types.bug,Report a Bug,გვაცნობეთ შეცდომის შესახებ
528,ka.message_types.feature,Request a Feature,მოითხოვეთ ახალი ფუნქციის დამატება
529,ka.message_types.feedback,General Feedback,გაგვიზიარეთ თქვენი აზრი
530,ka.filters.all,All,ყველა
531,ka.filters.matches,Matches,მსგავსი ამბები
532,ka.filters.staff_pick,Staff Pick,რჩეული
533,ka.filters.staff_pick_title,View stories that have been selected as Staff Picks,იხილეთ რჩეული ამბები
534,ka.filters.staff_pick_title_active,Remove Staff Pick filter,რჩეულის ფილტრის გაუქმება
535,ka.filters.sort_header,Sorted By,დალაგება
536,ka.filters.sort_title,Indicate how the stories should be sorted,როგორ გსურთ ამბების დალაგება?
537,ka.filters.filters,Filters,ფილტრი
538,ka.filters.all_stories,All Stories,ყველა ამბავი
539,ka.filters.sort.recent,Recent,ბოლო
540,ka.filters.sort.reads,Views,ნახვა
541,ka.filters.sort.likes,Likes,მოწონება
542,ka.filters.category_header,Category,კატეგორია
543,ka.filters.category_title,View stories that belong to a category,იხილეთ ამბები კატეგორიიდან
544,ka.filters.theme_header,Theme,თემა
545,ka.filters.theme_title,View stories that belong to a theme,ამ თემის ამბებოს ნახვა
546,ka.filters.language_header,Language,ენა
547,ka.filters.language_title,View stories that are written in a particular language,იხილეთ ამბები ამ ენაზე:
548,ka.filters.search,Find a Story,ამბის მოძებნა
549,ka.filters.following,Following,თვალყურის დევნება
550,ka.filters.following_title,View stories of users that you are following,"ნახეთ იმ მომხმარებლების ამბები, რომელთაც თქვენ თვალყურს ადევნებთ"
551,ka.filters.following_title_active,Remove Following filter,თვალყურის დევნების ფილტრის გაუქმება
552,ka.filters.not_published,Not Published,არ არის გამოქვეყნებული
553,ka.filters.not_published_title,View stories that are not published,ნახეთ გამოუქვეყნებელი ამბები
554,ka.filters.not_published_title_active,Show all stories,ნახეთ ყველა ამბავი
555,ka.tokeninput.searchingText,Searching...,ძიება...
556,ka.tokeninput.tag.hintText,Search for an existing tag or enter a new tag,თეგის ძიება ან ახალი თეგის დამატება
557,ka.tokeninput.tag.noResultsText,No matches found. Press 'Enter' to save this new tag.,"მსგავსება არ არის აღმოჩენილი. დააჭირეთ 'შეყვანას', რომ დაამატოთ თეგი."
558,ka.tokeninput.collaborator.hintText,Search for an existing user or enter the email address for a new user,"მოძებნეთ უკვე არსებული მომხმარებელი ან შეიყვანეთ ელ. ფოსტის მისამართი, რათა დაამატოთ ახალი მომხმარებელი"
559,ka.tokeninput.collaborator.noResultsText,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.,"მსგავსება არ მოიძებნა. დააჭირეთ 'შეყვანას', რომ დაამატოთ ეს ელ. ფოსტის მისამართი თანაავტორთა სიაში."
560,ka.layouts.application.copyright,Copyright,საავტორო უფლება
561,ka.layouts.application.copyright_text,Copyright of these reports belongs to the Chai-Khana NGO. Any republishing of materials is not allowed without the prior consent of Chai-Khana.,"ამ მასალაზე საავტორო უფლებას ფლობს არასამთავრობო ორგანიზაცია ""ჩაი ხანა"". მისი ხელახალი გამოქვეყნება ""ჩაი ხანასთან"" შეთანხმების გარეშე არ შეიძლება."
562,ka.layouts.application.disclaimer,Disclaimer,განაცხადი
563,ka.layouts.application.disclaimer_text,"This publication has been produced with the assistance of MYMEDIA, a DANIDA funded project. The content of this publication is the sole responsibility of the author/contractor/implementing partner/international organisation and can in no way be taken to reflect the official opinion of MYMEDIA / DANIDA.",ეს ვებგვერდი მომზადდა DANIDA-ას ფონდის მიერ დაფინანსებულ პროექტ MYMEDIA-ს დახმარებით. პუბლიკაციის შინაარსზე პასუხისმგებლობას იღებს ავტორი/კონტრაქტორი/განმახორციებელი პარტნიორი/პარტნიორი საერთაშორისო ორგანიზაცია და არანაირად არ ასახავს MYMEDIA/DANIDA-ს ოფიციალურ აზრის.
564,ka.layouts.unsupported_browser.title,Unsupported Browser,არასათანადო ბრაუზერი
565,ka.layouts.unsupported_browser.video,Your browser does not support this video.,თქვენ ბრაუზერს ვიდეოს მხარდაჭერა არ აქვს
566,ka.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,"სამწუხაროდ, თქვენი ინტერნეტ ბრაუზერის მოხმარების ვადა გასულია და ვერ მოხდება ვებ-გვერდთან სრულად დაკავშირება."
567,ka.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.","არსებობს რამდენიმე უფასო ბრაუზერი, რომელთა გადმოწერის შემდეგ შეძლებთ ვებ-გვერდით სარგებლობას."
568,ka.layouts.unsupported_browser.chrome,Chrome,Chrome
569,ka.layouts.unsupported_browser.firefox,Firefox,Firefox
570,ka.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (მხოლოდ Windows-ზე)
571,ka.layouts.unsupported_browser.opera,Opera,Opera
572,ka.layouts.unsupported_browser.Safari,Safari,Safari
573,ka.layouts.unsupported_browser.admin,Admin,ადმინისტრატორი
574,ka.layouts.unsupported_browser.sign_out,Sign Out,გასვლა
575,ka.layouts.unsupported_browser.js_link_title,JumpStart Georgia - We communicate data better!,ჯამპსტარტ ჯორჯია - ჩვენ გაწვდით ინფორმაციას უკეთ!
576,ka.layouts.unsupported_browser.js_link_text,Built by,შექმნილია
577,ka.layouts.storybuilder.source,Source,წყარო
578,ka.layouts.storybuilder.target,Target,მიზანი
579,ka.layouts.storybuilder.copy_paste,Copy from source,წყაროდან დაკოპირება
580,ka.shared.grid.no_stories,Oh no - no stories could be found!,სამწუხაროდ არ მოიძებნა არცერთი ამბავი!
581,ka.shared.story_nav_modals.copy,Copy To Clipboard...,კოპირება
582,ka.shared.story_nav_modals.copied,Copied!,დაკოპირებულია!
583,ka.admin.index.title,Administration Section,ადმინისტრატორის განყოფილება
584,ka.admin.index.users,Users,მომხმარებლები
585,ka.admin.users.edit.title,Editing User,ცვლილებების შეტანა მომხმარებლის გვერდზე
586,ka.admin.users.index.title,Users,მომხმარებლები
587,ka.admin.users.new.title,New User,ახალი მომხმარებელი
588,ka.admin.users.show.title,User Details,მომხმარებლის დეტალები
589,ka.admin.themes.form.header_features,Features,Features
590,ka.admin.themes.form.header_add_story,Select Story to be Feature,Select Story to be Feature
591,ka.admin.themes.form.header_current_features,Featured Stories In the Order They Will Appear,Featured Stories In the Order They Will Appear
592,ka.admin.themes.form.no_stories,No stories have been assigned to this theme yet.,No stories have been assigned to this theme yet.
593,ka.admin.themes.form.no_features,No stories have been selected to be features.,No stories have been selected to be features.
594,ka.root.about.title,About Chai Khana,“ჩაი ხანას” შესახებ
595,ka.root.embed.home_link,Built on Chai Khana,შექმნილია “სთორიბილდერზე”
596,ka.stories.new.title,Story Settings Form,პარამეტრების ფორმა
597,ka.stories.edit.title,Story Settings Form,პარამეტრების ფორმა
598,ka.stories.form.placeholder.title,Title of Story,ამბის სათაური
599,ka.stories.form.placeholder.permalink,URL to the story,ამბის ბმული
600,ka.stories.form.placeholder.author,Author(s) of the article,სტატიის ავტორ(ებ)ი
601,ka.stories.form.placeholder.media_author,Author(s) of photos and/or videos,ფოტოსა და/ან ვიდეოს ავტორ(ებ)ი
602,ka.stories.form.placeholder.translation_author,Author(s) that translated the story into this language,"ავტორი, რომელმაც თარგმნა ეს ამბავი"
603,ka.stories.form.hint.title,Story title will appear at the top of your story,ამბის სათაური გამოჩნდება ამბის საწყის გვერდზე
604,ka.stories.form.hint.permalink,"The default URL is the title of the story, but you can change it if desired","ავტომატური ბმული შეიცავს ამბის სათაურს, თუმცა, სურვილისამებრ, შეგიძლიათ შეცვალოთ იგი"
605,ka.stories.form.hint.author,Select the author(s) of the story to allow the story to appear on their webpage.,"აირჩიეთ ავტორი, რათა ეს ამბავი მის გვერდზე გამოჩნდეს"
606,ka.stories.form.hint.media_author,Author names will appear below the Story Author names,ფოტოს/ვიდეოს ავტორ(ებ)ის სახელები გამოჩნდება ავტორ(ებ)ის სახელების ქვემოთ
607,ka.stories.form.hint.translation_author,Author names will appear below the Photo and Video Author names,ავტორის სახელი გამოჩნდება ფოტოსა და ვიდეოს ქვემოთ
608,ka.stories.form.hint.published,Published stories are available for the world to view,გამოქვეყნებული ამბების ნახვა ყველას შეუძლია
609,ka.stories.form.hint.publish_home_page,"If checked, your published story will appear on the site's homepage","თუ მონიშნავთ, თქვენ მიერ გამოქვეყნებული ამბავი გამოჩნდება საიტის საწყის გვერდზე"
610,ka.stories.form.hint.template,Choose template to apply styling to story,აირჩიეთ შაბლონი ამბის სტილის შესარჩევად
611,ka.stories.form.hint.thumbnail,Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit),"გამოსახულება, რომელიც გამოჩნდება საწყის გვერდზე, ამბის გამოქვეყნების შემდეგ (მხოლოდ jpg და png ფორმატი; ფაილის მაქსიმალური ზომა 4MB)"
612,ka.stories.form.hint.editor,Person that created the story record in this website,"მომხმარებელი, რომელმაც შექმნა ამბის ჩანაწერი სისტემაში"
613,ka.stories.form.hint.editors,Select people that you want to give access to edit the story,"მონიშნეთ ადამიანები, რომლებსაც შეეძლებათ გამოქვეყნებამდე ამბის რედაქტირება"
614,ka.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,"ამბის მოკლე შინაარსი, რომელიც გამოჩნდება საწყის გვერდზე, როდესაც თქვენი ამბავი გამოქვეყნდება"
615,ka.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,"მიუთითეთ ამბის ენა. ეს საშუალებას მისცემს მომხმარებლებს, მოიძიონ ამბავი ენის მიხედვით."
616,ka.stories.form.hint.categories,Select the category(s) your story belongs to. Allows users to filter stories by a category.,"აირჩიეთ, რომელ კატეგორიას განეკუთვნება თქვენი ამბავი. ეს საშუალებას მისცემს მომხმარებლებს, მოიძიონ ამბავი კატეგორიის მიხედვით."
617,ka.stories.form.hint.tag_list,"Enter text to find existing tags. If your tag does not exist yet, press 'Enter' to add the new tag to the list.","შეიყვანეთ ტექსტი, რომ იპოვოთ არსებული თეგი. თუ თქვენი თეგი ჯერ არ არსებობს, დააჭირეთ 'შეყვანას' და დაამატეთ იგი."
618,ka.stories.form.hint.story_type,Select the type of your story.,აირჩიეტ ამბის ტიპი
619,ka.stories.form.hint.theme,Select the theme(s) your story belongs to.,"აირჩიეთ თემა, რომელსაც თქვენი ამბავი განეკუთვნება"
620,ka.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","თუ მონიშნავთ ეს ამბავი გამოჩნდება სლაიდერში, თემის გვერდის ზედა ნაწილში"
621,ka.stories.collaborators.title,Collaborators for '%{title}',ამბის '%{title}' თანაავტორები
622,ka.stories.collaborators.owner_header,Story Author,ამბის ავტორი
623,ka.stories.collaborators.collaborators_header,Story Collaborators,ამბის თანაავტორები
624,ka.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,თანაავტორებს შეუძლიათ ამბის რედაქტირება
625,ka.stories.collaborators.editors_header,Editors,რედაქტორები
626,ka.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,რედაქტორს აქვს უფლება დაამატოს/დაარედაქტიროს ამბავი და თარგმნოს იგი სხვადასხვა ენაზე. რედაქტორს ასევე შეუძლია დაამატოს თანაავტორი და გამოაქვეყნოს ამბავი.
627,ka.stories.collaborators.translators_header,Translators,მთარგმნელები
628,ka.stories.collaborators.translator_explanation,"A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story.","მთარმგნელს აქვს წვდომა თარქმნოს ამავი სხვადასხვა ენაზე. მას არ აქვს ამბის რედაქტირების, თანაავტორის დამატების ან ამბის გამოქვეყნების შესაძლებლობა."
629,ka.stories.collaborators.remove_title,Remove %{name},%{name}-ის ამოშლა
630,ka.stories.collaborators.not_accepted_title,%{name} has not accepted the invitation yet,%{name}-ს ჯერ არ უპასუხია მოწვევაზე
631,ka.stories.collaborators.add_header,Add Collaborators,თანაავტორების დამატება
632,ka.stories.collaborators.add_explanation,"For the users you enter below, an email will be sent inviting them to be a collaborator on this story.","თქვენ მიერ მითითებულ მომხმარებლებს გაეგზავნებათ მოსაწვევები, რათა მონაწილეობა მიიღონ თქვენთან ერთდ ამ ამბის შექმნაში."
633,ka.stories.collaborators.editor_label,Enter the names or email addresses of the editors,შეიყვანეთ რედაქტორების სახელები ან საფოსტო მისამართები
634,ka.stories.collaborators.language_label,Select the translation language(s),შეიყვანეთ თარგმანის ენა
635,ka.stories.collaborators.translator_label,Enter the name or email address of the translator,შეიყვანეთ მთარგმნელის სახელი ან საფოსტო მისამართი
636,ka.stories.collaborators.translator_add,Add Another Translator,სხვა მთარგმნელის დამატება
637,ka.stories.collaborators.translator_remove,Remove Translator,მთარგმნელის წაშლა
638,ka.stories.collaborators.message,Add Message to Notification (optional),შეტყობინებისთვის გზავნილის დამატება (არ არის სავალდებულო)
639,ka.stories.collaborators.submit,Send Collaboration Invitation,თანაავტორობის მოსაწვევის გაგზავნა
640,ka.stories.media.form_title,Full-Screen Media Slideshow Form,მთელ ეკრანზე გაშლილი მედია სლაიდშოუ
641,ka.stories.media.left,Left,მარცხნივ
642,ka.stories.media.center,Center,ცენტრში
643,ka.stories.media.right,Right,მარჯვნივ
644,ka.stories.media.image,Image,გამოსახულება
645,ka.stories.media.video,Video,ვიდეო
646,ka.stories.media.floating,Floating,მოსიარულე
647,ka.stories.media.fixed,Fixed,ფიქსირებული
648,ka.stories.media.placeholder.title,Media title,მედიაფაილის სათაური
649,ka.stories.media.placeholder.caption,Caption text,წარწერა
650,ka.stories.media.placeholder.source,Source of the image/video,ფოტოს/ვიდეოს წყარო
651,ka.stories.media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
652,ka.stories.media.hint.media_type,"For videos, an image is necessary because videos are not loaded on mobile devices.","ვიდეოსთვის ფოტო აუცილებელია, რადგან ვიდეო არ იტვირთება მობილურ ტელეფონებზე"
653,ka.stories.media.hint.caption,"Caption text will appear on top of the image/video. If this is the first item in the story, the caption text is hidden.","წარწერა გამოჩნდება გამოსახულებაზე/ვიდეოზე. თუ ეს ფოტო/ვიდეო ამბის პირველი სექციაა, წარწერა არ გამოჩნდება."
654,ka.stories.media.hint.source,"Source of the image/video, appears in the bottom-right corner","ფოტოს/ვიდეოს წყარო, გამოჩნდება ქვედა მარჯვენა კუთხეში"
655,ka.stories.media.hint.image,Only jpg format allowed; 4MB file size limit,დასაშვებია მხოლოდ jpg ფორმატი; ფაილის მაქსიმალური ზომა 4MB
656,ka.stories.media.hint.video,"Only mp4, mov, webm, ogv, flv, avi and wmv formats accepted; 25MB file size limit. After videos are uploaded they must be processed before they are available for viewing. You will receive a notification when the processing is complete, typically within a few minutes.","დასაშვებია mp4, mov, webm, ogv, flv, avi და wmv ფორმატები; ფაილის მაქსიმალური ზომა 25MB. ატვირთვის შემდეგ, სანამ ვიდეო ამბავს დაემატება, საჭიროა მათი დამუშავება, რაც, ჩვეულებრივ, რამდენიმე წუთს გრძელდება. როდესაც ვიდეოს დამუშავება დასრულდება, თქვენ მიიღებთ შეტყობინებას."
657,ka.stories.media.hint.caption_align,The Caption text will appear on top of the image/video (appears on the left by default),"წარწერა გამოჩნდება სურათზე/ვიდეოზე (ტექსტის ავტომატური მდებარეობა მარცხენა მხარეა, რისი შეცვლაც შეგიძლიათ)"
658,ka.stories.media.hint.infobox_type,The Caption text can float on top of the image/video or can be fixed at the bottom of the image/video,"ამ ტექსტს შეუძლია ფოტოზე/ვიდეოზე ზემოდან იმოძრაოს, ან იყოს დაფიქსირებული ფოტოს/ვიდეოს ქვედა ნაწილში"
659,ka.stories.media.hint.video_loop,"If checked, the video will loop infinitly, otherwise the video will not loop","თუ მონიშნავთ, ვიდეო განმეორდება უსასრულოდ, სხვა შემთხვევაში ვიდეო არ განმეორდება"
660,ka.stories.section.form_title,Section Form,სექციის ფორმა
661,ka.stories.section.yes,Yes,კი
662,ka.stories.section.no,No,არა
