Line #,st,en Version,ru Translation
469,ru.app.msgs.success_remove_avatar,Your Facebook avatar is now being used.,В данное время используеться Ваш аватар страницы Facebook
470,ru.app.msgs.nickname_duplicate,This user URL already exists.,Такой пользывательский URL уже существует
471,ru.app.msgs.nickname_url,Your URL will be:,Ваш URL будет:
472,ru.app.msgs.story_duplicate,This story URL already exists.,Такой URL истроии уже существует
473,ru.app.msgs.story_url,Story URL will be:,URL Вашей истории будет:
474,ru.app.msgs.update_translations,Don't forget to translate this new item!,Don't forget to translate this new item!
475,ru.app.msgs.invitation.accepted,You have accepted the invitation to collaborate on '%{title}',Вы приняли приглашение на сотрудничество на '%{title}'
476,ru.app.msgs.invitation.accepted_already,You have already accepted the invitation to collaborate on '%{title}',Вы уже приняли приглашение на сотрудничество на '%{title}'
477,ru.app.msgs.invitation.bad,"Sorry, your invitation could not be found or the story has been deleted.","К сожалению, Ваше приглашение не может быть найден или история была удалена."
478,ru.app.msgs.invitation.declined,Your invitation was declined,Ваше приглашение было отклонено
479,ru.app.msgs.one_section.content,Only one Item can be added to a Text section,К разделу текста может быть добавлен только один объект
480,ru.app.msgs.one_section.slideshow,Only one Item can be added to an Image Slideshow section,К разделу слайдшоу может быть добавлен только один объект
481,ru.app.msgs.one_section.embed_media,Only one Item can be added to an Embed Online Media section,К разделу встроенной онлайн медии может быть добавлен только один объект
482,ru.app.msgs.one_section.youtube,Only one Item can be added to a YouTube section,К разделу YouTube может быть добавлен только один объект
483,ru.app.msgs.one_section.general,Only one Item can be added to this type of section,К такому разделу может быть добавлен только один объект
484,ru.app.msgs.destroy_story.success,Story was successfully deleted.,История была удачно удалена
485,ru.app.msgs.destroy_story.error,Error occurred while deleting the story: %{err},При удалении истории произошла ошибка: %{err}
486,ru.app.msgs.destroy_item.success,Item was successfully deleted.,Объект %{obj} был удачно удален
487,ru.app.msgs.destroy_item.error,Error occurred while deleting the item: %{err},При удалении объекта произошла ошибка: %{err}
488,ru.app.msgs.destroy_item.error_not_found,Item could not be found to delete.,Объект не был найден и удален.
489,ru.app.msgs.embed_code,Copy and paste this embed code into your web page,Скопируйте и вставьте этот встроенный код в веб-страницу
490,ru.app.msgs.collaborators.success_remove,%{name} was removed as a collaborator,%{name} был удален из сотрудников
491,ru.app.msgs.collaborators.user_not_found,User to remove as a collaborator could not be found,Пользыватель не найден для удаления
492,ru.app.msgs.collaborators.no_permission,You do not have permission to remove this collaborator,У Вас нет права удалить этого сотрудника
493,ru.app.msgs.collaborators.success_invitations,Invitations were sent!,Приглашения были отправлены!
494,ru.app.msgs.collaborators.error_invitations_all,No invitations were sent due to the following erros: %{msg},Приглашения не были отправлены из за ошибок: %{msg}
495,ru.app.msgs.collaborators.error_invitations_some,"Some invitations were sent, but some were not due to the following erros: %{msg}",Часть приглашенией не была отправлена из за ошибок: %{msg}
496,ru.app.msgs.notification.true,You will be sent notifications.,Вам будут отправлены оповешения.
497,ru.app.msgs.notification.false,You will not be sent notifications.,Вам не будут отправлены оповешения.
498,ru.app.msgs.notification.new_theme_all_success,You will recieve a notification whenever a theme is added.,"Когда тема будет добавлена, вы получите уведомление."
499,ru.app.msgs.notification.new_theme_none_success,You will not receive any notifications when themes are added.,"Когда темы будут добавлены, вы не получите никаких уведомлений."
500,ru.app.msgs.notification.new_story_by_type_success,You will receive a notification when a story is added to these types: %{types}.,"Вы получите оповещение, когда к следующим типам будет добавлена новая история: %{types}."
501,ru.app.msgs.notification.story_comments_yes,You will be sent notifications when a comment is made to one of your stories.,Вы получите оповешения при коментарии на Ваших историях
502,ru.app.msgs.notification.story_comments_no,You will not be sent notifications when a comment is made to one of your stories.,Вы не получите оповешения при коментарии на Ваших историях
503,ru.app.msgs.notification.following_no,You will no longer receive notifications about new stories from '%{name}'.,Вы больше не получите оповешения про новые истории от '%{nickname}'.
504,ru.app.msgs.notification.language,You will be sent notifications in %{language}.,Язык Ваших оповещений будет %{language}.
505,ru.app.msgs.fail_change_order,The item was not able to be moved,Объект не может быть перемещен
506,ru.app.msgs.nothing_selected,Please select a section/item to delete,"Пожалуйста, выберите раздел/объект чтобы удалить"
507,ru.app.msgs.fail_delete,The section/item could not be deleted,Раздел/объект не может быть удален
508,ru.app.msgs.confirm_delete,Are you sure you want to delete this section/item?,"Вы уверены, что хотите удалить этот раздел/объект?"
509,ru.app.msgs.confirm_publish,Are you sure you want to publish story?,Are you sure you want to publish story?
510,ru.app.msgs.video_processed,Your video is processed,Ваше видео обработано
511,ru.app.msgs.video_not_processed,Your video is being processed,Ваше видео в процессе обработки
512,ru.app.msgs.not_found_for_update,The record to update could not be found in the database.,Запись для обновления не может быть найден в базе данных.
513,ru.section_types.content.name,Text,Текст
514,ru.section_types.content.description,"Can include html, css styling and images","Может включать HTML, CSS стиль и образы"
515,ru.section_types.media.name,Full-Screen Media Slideshow,Медиа слайд-шоу во весь экран
516,ru.section_types.media.description,Images and/or videos as a full-screen vertical slideshow,Посмотреть изображения и/или видео на вертикальном слайд-шоу во весь экран
517,ru.section_types.slideshow.name,Image Slideshow,Слайд-шоу изображений
518,ru.section_types.slideshow.description,Images in a horizontal slideshow,Изображения на горизонтальный слайд-шоу
519,ru.section_types.embed_media.name,Embed Online Media,Встройть в страницу Онлайн Медиа
520,ru.section_types.embed_media.description,"YouTube, Vimeo, etc","YouTube, Vimeo, итд"
521,ru.section_types.youtube.name,YouTube Video,YouTube видео
522,ru.section_types.youtube.description,YouTube video with ability to setting caption language,"YouTube видео, с переключаемыми субтитрами"
523,ru.section_types.infographic.name,Infographic,Инфографика
524,ru.section_types.infographic.description,"Infographic, interactive, or factoids with ability to add datasets and data sources","Инфографики, интерактивных, или фактоиды, с возможностью добавления наборов и источников данных"
525,ru.story_role.editor,Editor,Редактор
526,ru.story_role.translator,Translator,Переводчик
527,ru.message_types.bug,Report a Bug,Сообщить об ошибках
528,ru.message_types.feature,Request a Feature,Запросить о новых функциях
529,ru.message_types.feedback,General Feedback,Поделитесь своим мнением о нас
530,ru.filters.all,All,Все
531,ru.filters.matches,Matches,Похожие историй
532,ru.filters.staff_pick,Staff Pick,Избранные историй
533,ru.filters.staff_pick_title,View stories that have been selected as Staff Picks,Посмотреть Избранные историй
534,ru.filters.staff_pick_title_active,Remove Staff Pick filter,"Удалить фильтр ""Избранные историй"""
535,ru.filters.sort_header,Sorted By,Группировать по
536,ru.filters.sort_title,Indicate how the stories should be sorted,Укажите признак группирования
537,ru.filters.filters,Filters,Фильтры
538,ru.filters.all_stories,All Stories,Все истории
539,ru.filters.sort.recent,Recent,Последние
540,ru.filters.sort.reads,Views,Просмотры
541,ru.filters.sort.likes,Likes,"Отметки ""Нравится"""
542,ru.filters.category_header,Category,Категория
543,ru.filters.category_title,View stories that belong to a category,Прoсмотривать истории которые относятся к категории
544,ru.filters.theme_header,Theme,Тема
545,ru.filters.theme_title,View stories that belong to a theme,Просмотривать истории по теме
546,ru.filters.language_header,Language,Язык
547,ru.filters.language_title,View stories that are written in a particular language,Просмотривать истории созданные на определеннoм языке
548,ru.filters.search,Find a Story,Найти историю
549,ru.filters.following,Following,Подпосчики
550,ru.filters.following_title,View stories of users that you are following,"Просмотривать истории от пользывателей, к которым Вы подписаны"
551,ru.filters.following_title_active,Remove Following filter,"Удалить фильтр ""Мои подписки"""
552,ru.filters.not_published,Not Published,Не опубликованные
553,ru.filters.not_published_title,View stories that are not published,Просмотривать неопубликованнуе истории
554,ru.filters.not_published_title_active,Show all stories,Показать все истории
555,ru.tokeninput.searchingText,Searching...,ведется поиск...
556,ru.tokeninput.tag.hintText,Search for an existing tag or enter a new tag,Поиск существующих тегов для создания новых
557,ru.tokeninput.tag.noResultsText,No matches found. Press 'Enter' to save this new tag.,"Совпадений не найдено. Нажмите ""Enter"", чтобы сохранить этот новый тег."
558,ru.tokeninput.collaborator.hintText,Search for an existing user or enter the email address for a new user,Поиск для существующего пользователя или введите адрес электронной почты для нового пользователя
559,ru.tokeninput.collaborator.noResultsText,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.,"Совпадений не найдено. Нажмите ""Enter"", чтобы добавить этот адрес электронной почты в список приглашенных сотрудников."
560,ru.layouts.application.copyright,Copyright,Авторское право
561,ru.layouts.application.copyright_text,Copyright of these reports belongs to the Chai-Khana NGO. Any republishing of materials is not allowed without the prior consent of Chai-Khana.,Авторское право этих материалов принадлежит Чайхана НПО. Любая повторная публикация материалов не допускается без предварительного согласия с Чайхана.
562,ru.layouts.application.disclaimer,Disclaimer,Отказ от ответственности
563,ru.layouts.application.disclaimer_text,"This publication has been produced with the assistance of MYMEDIA, a DANIDA funded project. The content of this publication is the sole responsibility of the author/contractor/implementing partner/international organisation and can in no way be taken to reflect the official opinion of MYMEDIA / DANIDA.","Этот сайт был подготовлен при содействии проекта Mymedia, финансируемый DANIDA. Содержание данной публикации является предметом ответственности автора / сотрудника / исполнителя / партнера международной организации и никоим образом не отражает официальное мнение Mymedia / DANIDA."
564,ru.layouts.unsupported_browser.title,Unsupported Browser,Браузер не поддерживается
565,ru.layouts.unsupported_browser.video,Your browser does not support this video.,Ваш браузер не поддерживает этого видео.
566,ru.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,К сожалению Ваш браузер устарел и не будет должным образом воспроизводить контент с этого сайта
567,ru.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.","Но есть несколько бесплатных браузеров, которые можно загрузить, и которые совместимы с этого сайта"
568,ru.layouts.unsupported_browser.chrome,Chrome,Chrome
569,ru.layouts.unsupported_browser.firefox,Firefox,Firefox
570,ru.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (только Windows)
571,ru.layouts.unsupported_browser.opera,Opera,Opera
572,ru.layouts.unsupported_browser.Safari,Safari,Safari
573,ru.layouts.unsupported_browser.admin,Admin,Админ
574,ru.layouts.unsupported_browser.sign_out,Sign Out,Выйти
575,ru.layouts.unsupported_browser.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - Мы связываем данные лучше!
576,ru.layouts.unsupported_browser.js_link_text,Built by,Создано
577,ru.layouts.storybuilder.source,Source,Источник
578,ru.layouts.storybuilder.target,Target,Цель
579,ru.layouts.storybuilder.copy_paste,Copy from source,Скопировать из источника
580,ru.shared.grid.no_stories,Oh no - no stories could be found!,"О, нет - истории не могут быть найдены!"
581,ru.shared.story_nav_modals.copy,Copy To Clipboard...,Копировать в буфер обмена ...
582,ru.shared.story_nav_modals.copied,Copied!,Скопировано!
583,ru.admin.index.title,Administration Section,Раздел одминистрации
584,ru.admin.index.users,Users,Пользыватели
585,ru.admin.users.edit.title,Editing User,Редактирующи пользователь
586,ru.admin.users.index.title,Users,Пользыватели
587,ru.admin.users.new.title,New User,Новый пользыватель
588,ru.admin.users.show.title,User Details,Данные и пользывателе
589,ru.admin.themes.form.header_features,Features,Features
590,ru.admin.themes.form.header_add_story,Select Story to be Feature,Select Story to be Feature
591,ru.admin.themes.form.header_current_features,Featured Stories In the Order They Will Appear,Featured Stories In the Order They Will Appear
592,ru.admin.themes.form.no_stories,No stories have been assigned to this theme yet.,No stories have been assigned to this theme yet.
593,ru.admin.themes.form.no_features,No stories have been selected to be features.,No stories have been selected to be features.
594,ru.root.about.title,About Chai Khana,О Чайхане
595,ru.root.embed.home_link,Built on Chai Khana,Создан на Чайхане
596,ru.stories.new.title,Story Settings Form,Форма параметров истории
597,ru.stories.edit.title,Story Settings Form,Форма параметров истории
598,ru.stories.form.placeholder.title,Title of Story,Заглавок истории
599,ru.stories.form.placeholder.permalink,URL to the story,URL к истории
600,ru.stories.form.placeholder.author,Author(s) of the article,Автор(ы) статьи
601,ru.stories.form.placeholder.media_author,Author(s) of photos and/or videos,Автор(ы) фото/видео
602,ru.stories.form.placeholder.translation_author,Author(s) that translated the story into this language,Автор(ы) переводной историй на этот язык
603,ru.stories.form.hint.title,Story title will appear at the top of your story,Заглавок будет виден над вашей историей
604,ru.stories.form.hint.permalink,"The default URL is the title of the story, but you can change it if desired","URL по умолчанию будет название рассказа, но при желании вы можете изменить его"
605,ru.stories.form.hint.author,Select the author(s) of the story to allow the story to appear on their webpage.,"Выберите автора (ов) истории, чтобы история могля появиться и на их странице"
606,ru.stories.form.hint.media_author,Author names will appear below the Story Author names,Имена соавторов появятся под именем автора истории
607,ru.stories.form.hint.translation_author,Author names will appear below the Photo and Video Author names,Имена соавторов появятся под именем автора фото/видео
608,ru.stories.form.hint.published,Published stories are available for the world to view,Опубликованные истории доступны для всего мира
609,ru.stories.form.hint.publish_home_page,"If checked, your published story will appear on the site's homepage","Если отметить, то Ваша история будет на главной странице сайта"
610,ru.stories.form.hint.template,Choose template to apply styling to story,Выберите шаблон для стиля истории
611,ru.stories.form.hint.thumbnail,Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit),"Изображение, которое используется, чтобы показать историю на главной странице после опубликования (JPG и PNG только, ограничение на размер файла 4MB)"
612,ru.stories.form.hint.editor,Person that created the story record in this website,Человек который создал эту запись на сайте
613,ru.stories.form.hint.editors,Select people that you want to give access to edit the story,"Выберите людей, которым Вы хотите давать доступ на редактирования истории"
614,ru.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,"Краткое содержание (конспект) истории, которое будет использоваться на главной странице после опубликования"
615,ru.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,Выберите язык вашей истории - это позволит пользователям фильтровать истории по языку
616,ru.stories.form.hint.categories,Select the category(s) your story belongs to. Allows users to filter stories by a category.,Выберите категории для вашей истории - это позволит пользователям фильтровать истории по категориям
617,ru.stories.form.hint.tag_list,"Enter text to find existing tags. If your tag does not exist yet, press 'Enter' to add the new tag to the list.","Введите текст, чтобы найти существующие теги. Если ваш тег пока не существует, нажмите ""Enter"", чтобы добавить новый тег в список."
618,ru.stories.form.hint.story_type,Select the type of your story.,Выберите тип вашей истории.
619,ru.stories.form.hint.theme,Select the theme(s) your story belongs to.,Выберите тему(ы) Вашей истории
620,ru.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","При выборе этого, история появится в верхней ползунке тем."
621,ru.stories.collaborators.title,Collaborators for '%{title}',Сотрудники '%{title}'
622,ru.stories.collaborators.owner_header,Story Author,Автор истории
623,ru.stories.collaborators.collaborators_header,Story Collaborators,Сотрудники истории
624,ru.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,У сотрудников есть доступ на редактирование истории
625,ru.stories.collaborators.editors_header,Editors,Редакторы
626,ru.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,"У редакторов есть доступ на добавление/редактирование истории, на перевод в другой язык, на приглашение сотрудников и на опубликование."
627,ru.stories.collaborators.translators_header,Translators,Переводчики
628,ru.stories.collaborators.translator_explanation,"A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story.","У переводчиков есть доступ на осуществления перевода текста на другой язык. У переводчиков нету доступа на редактирование оригинальной истории, добавления сотрудников или на опукование."
629,ru.stories.collaborators.remove_title,Remove %{name},Удалить %{name}
630,ru.stories.collaborators.not_accepted_title,%{name} has not accepted the invitation yet,%{name} еще не принял/а Ваше приглашение
631,ru.stories.collaborators.add_header,Add Collaborators,Добавить сотрудника
632,ru.stories.collaborators.add_explanation,"For the users you enter below, an email will be sent inviting them to be a collaborator on this story.","Введенным пользывателям будет отправлено электронное письмо, с приглашеним на сотрудничество на эту историю"
633,ru.stories.collaborators.editor_label,Enter the names or email addresses of the editors,Введите имена или адреса электронных почт редакторов
634,ru.stories.collaborators.language_label,Select the translation language(s),Выберите язык(и) для перевода
635,ru.stories.collaborators.translator_label,Enter the name or email address of the translator,Введите имя или электронный адрес переводчика
636,ru.stories.collaborators.translator_add,Add Another Translator,Добавить другого переводчика
637,ru.stories.collaborators.translator_remove,Remove Translator,Удалить переводчика
638,ru.stories.collaborators.message,Add Message to Notification (optional),Добавить сообшение к оповешению
639,ru.stories.collaborators.submit,Send Collaboration Invitation,Отправить приглашения на сотрудничество
640,ru.stories.media.form_title,Full-Screen Media Slideshow Form,Форма для медиа слайд-шоу на весь экран
641,ru.stories.media.left,Left,Левый
642,ru.stories.media.center,Center,Центр
643,ru.stories.media.right,Right,Правый
644,ru.stories.media.image,Image,Изображение
645,ru.stories.media.video,Video,Видео
646,ru.stories.media.floating,Floating,Плавающий
647,ru.stories.media.fixed,Fixed,Фиксированный
648,ru.stories.media.placeholder.title,Media title,Заглавок медии
649,ru.stories.media.placeholder.caption,Caption text,Текст титров
650,ru.stories.media.placeholder.source,Source of the image/video,Источник изображения / видео
651,ru.stories.media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только на левой боковой панели, он не будет отображаться в истории"
652,ru.stories.media.hint.media_type,"For videos, an image is necessary because videos are not loaded on mobile devices.","Для видео, изображения, необходимо потому, что видео не загружен на мобильных устройствах"
653,ru.stories.media.hint.caption,"Caption text will appear on top of the image/video. If this is the first item in the story, the caption text is hidden.","Текст титров появится на верхней части изображения / видео. Если это первыйо бьект в истории, то текст титров будет скрыта"
654,ru.stories.media.hint.source,"Source of the image/video, appears in the bottom-right corner","Источник изображения/видео, появится в нижнем правом углу"
655,ru.stories.media.hint.image,Only jpg format allowed; 4MB file size limit,Разрешен только формат JPG: ограничение на размер файла - 4 Мб
656,ru.stories.media.hint.video,"Only mp4, mov, webm, ogv, flv, avi and wmv formats accepted; 25MB file size limit. After videos are uploaded they must be processed before they are available for viewing. You will receive a notification when the processing is complete, typically within a few minutes.","Принимаются только форматы МP4, MOV, WebM, OGV, FLV, AVI и WMV; 2 5MB - предельный размер файлов. После загружения видео должно быть обработанно, прежде чем станет доступным для просмотра. Вы получите уведомление, когда обработка завершится (как правило, в течение нескольких минут)."
657,ru.stories.media.hint.caption_align,The Caption text will appear on top of the image/video (appears on the left by default),Текст титров появится в верхней части изображения / видео (по умолчанию - на левой стороне)
658,ru.stories.media.hint.infobox_type,The Caption text can float on top of the image/video or can be fixed at the bottom of the image/video,Текст титров может плавать в верхней части изображения / видео или фиксированна на нижней части изображения / видео
659,ru.stories.media.hint.video_loop,"If checked, the video will loop infinitly, otherwise the video will not loop","При выборе этого видео будет бесконечно переигрываться, иначе видео не будет переигрываться"
660,ru.stories.section.form_title,Section Form,Форма раздела
661,ru.stories.section.yes,Yes,Да
662,ru.stories.section.no,No,Нет
663,ru.stories.section.placeholder.title,Section title,Заглавок раздела
664,ru.stories.section.hint.title,"This text appears in the left sidebar and, if Navigation Shortcut is selected, will appear as the title text for the shortcut","Этот текст появляется в левой боковой панели и, если отмечена Навигационная ссылка, то текст будет отображаться в качестве заголовки ярлыка"
665,ru.stories.section.hint.type,Selecting this type determines what kind of information you can add into this section,"При выборе этого типа определяет, какого рода информацией Вы можете добавить в этот раздел"
666,ru.stories.section.hint.has_marker,"If checked, there will be a navigation shortcut link to go to this section","При выборе этого будет навигационная ссылка, чтобы перейти к этому разделу"
667,ru.stories.section.hint.audio,Background audio to play while this section is in view (mp3 format only; 10mb file size limit),"Фоновый аудиофайл, для проигрывания во время просмотра этой сейции (формат - только MP3; предел размера файла - 10 МБ )"
668,ru.stories.section.hint.delete_audio,"If checked, the Audio Track will be deleted",При выборе этого аудиофайл будет удален
669,ru.stories.content.form_title,Text Form,Форма текста
670,ru.stories.content.placeholder.title,Text title,Заглавок текста
671,ru.stories.content.placeholder.caption,optional,необязательно
672,ru.stories.content.placeholder.sub_caption,optional,необязательно
673,ru.stories.content.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только в левой боковой панели, он не будет отображаться в истории"
674,ru.stories.content.hint.caption,Heading of text will appear at the top of the section,Заголовок текста появится в верхней части раздела
675,ru.stories.content.hint.sub_caption,Subheading of text will appear below the Heading,Подзаголовок текста появится под заголовком
676,ru.stories.content.hint.content,"Text can include html, css styling and images","Текст может включать в себя HTML, CSS стиль и образы"
677,ru.stories.reviewer_key.title,Private URL,Личный URL
678,ru.stories.reviewer_key.desc,"You can copy and share the following URL with whomever you want to review '%{title}' before it is published. These people will have the ability to read your story, but not edit it.","Вы можете копировать и распространять следующий URL, с кем вы хотите просмотреть историю '% {title}' до опубликации. Эти люди будут иметь возможность только читать историю, но не редактировать его."
679,ru.stories.slideshow.form_title,Image Slideshow Form,Форма для слайд-шоу изображенеи
680,ru.stories.slideshow.add_image,Add Image,Добавить изображение
681,ru.stories.slideshow.placeholder.title,Slideshow Title,Заглавок слайд-шоу
682,ru.stories.slideshow.placeholder.caption,optional,необязательно
683,ru.stories.slideshow.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только в левой боковой панели, он не будет отображаться в истории"
684,ru.stories.slideshow.hint.caption,Heading will appear at the top of the slideshow,Заголовок появится в верхней части спайдшоу
685,ru.stories.slideshow.hint.description,The description will appear below the slideshow,Описание появится под слайдом
686,ru.stories.asset_file_fields.remove_image,Remove,Удалить
687,ru.stories.asset_file_fields.placeholder.caption,optional,необязательно
688,ru.stories.asset_file_fields.placeholder.source,optional,необязательно
689,ru.stories.asset_file_fields.hint.caption,Image Description will appear below the image,Описание изображения будет отображаться под картиной
690,ru.stories.asset_file_fields.hint.source,Source will appear below the Image Description,Источник появится под описанием изображения
691,ru.stories.asset_file_fields.hint.asset,Only jpg and png format allowed; 4MB file size limit,"Только форматы JPG и PNG, ограничение на размер файла 4MB"
692,ru.stories.asset_file_fields.label.caption,Image Description,Описание изображения
693,ru.stories.asset_file_fields.label.source,Image Source,Источник изображения
694,ru.stories.embed_media.form_title,Embed Online Media Form,Форма встроенного онлайн медиа контента
695,ru.stories.embed_media.get_media,Get Online Media,Получить медиа контент
696,ru.stories.embed_media.preview,Preview of Online Media,Предтварительный просмотр контента
697,ru.stories.embed_media.error,The URL could not be processed. Please try again.,"URL не может быть обработан. Пожалуйста, попробуйте еще раз."
698,ru.stories.embed_media.placeholder.title,Embed Online Media Title,Заглавок встроенного контента
699,ru.stories.embed_media.placeholder.url,Url to online media,URL к медиа контенту
700,ru.stories.embed_media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только в левой боковой панели, он не будет отображаться в истории"
701,ru.stories.embed_media.hint.url,"The following sites can be used for embeding online media: AUDIO: Soundcloud, Spotify; VIDEO: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED","Дла встроенного медиа контента могут быть использованы следующие сайты: Аудио: Soundcloud, Spotify; Видео: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED"
702,ru.stories.youtube.form_title,YouTube Video Form,Форма для видео из YouTube
703,ru.stories.youtube.get_media,Get Youtube Video,Получить видео из YouTube
704,ru.stories.youtube.preview,Preview of YouTube Video,Предтварительный просмотр видео из YouTube
705,ru.stories.youtube.error,The URL could not be processed. Please try again.,"URL не может быть обработан. Пожалуйста, попробуйте еще раз."
706,ru.stories.youtube.generate_iframe.missing_api_key,value can't be generated due to missing API key.,value can't be generated due to missing API key.
707,ru.stories.youtube.generate_iframe.error,is not valid.,is not valid.
708,ru.stories.youtube.placeholder.title,YouTube Title,Заглавок видео из YouTube
709,ru.stories.youtube.placeholder.url,Url to YouTube video,URL к видео на YouTube
710,ru.stories.youtube.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только в левой боковой панели, он не будет отображаться в истории"
711,ru.stories.youtube.hint.url,Copy a YouTube URL and paste it here,Скопируйте URL-адрес YouTube и вставить его здесь
712,ru.stories.youtube.hint.fullscreen,"If checked, the video will take up the entire screen",При выборе этого видео будет занимать весь экран
713,ru.stories.youtube.hint.loop,"If checked, the video will loop over and over",При выборе этого видео будет бесконечно переигрываться
714,ru.stories.youtube.hint.info,"If checked, the title bar will be shown on top of the video",При выборе этого в заглвoк будет показан на верхней части видео
715,ru.stories.youtube.hint.cc,"If checked, the video subtitles will be shown by default",При выборе этого субтитры будут отображаться по умолчанию
716,ru.stories.youtube.hint.menu_lang,Language of the YouTube menu/controls,Язык YouTube меню/управления
717,ru.stories.youtube.hint.cc_lang,Language of the subtitles to show by default,Язык субтитров - показать по умолчанию
718,ru.stories.infographic.form_title,Infographic Form,Форма инфографики
719,ru.stories.infographic.add_datasource,Add Data Source,Добавить источник данных
720,ru.stories.infographic.static,Static,Статичный
721,ru.stories.infographic.dynamic,Dynamic,Активный
722,ru.stories.infographic.inline,In Story,In Story
723,ru.stories.infographic.popup,Popup,Popup
724,ru.stories.infographic.label.dynamic_size,Infographic Dimensions in Width x Height,Размеры инфографики: ширина х высота
725,ru.stories.infographic.placeholder.title,Title,Название
726,ru.stories.infographic.placeholder.caption,optional,опционально
727,ru.stories.infographic.placeholder.dataset_url,optional,опционально
728,ru.stories.infographic.placeholder.dynamic_url,Interactive URL,Интерактивный URL
729,ru.stories.infographic.placeholder.dynamic_width,width,ширина
730,ru.stories.infographic.placeholder.dynamic_height,height,высота
731,ru.stories.infographic.hint.title,"This text only appears in the left sidebar, it will not show up in the story","Этот текст появляется только на левой боковой панели, он не будет отображаться в истории"
732,ru.stories.infographic.hint.caption,"Heading of infographic will appear above the infographic image. If this Infographic Section is first in the story, you should leave this blank and use the Story Title field.","Заголовок инфографики появится над изображением инфографики. Если этот раздел инфографики является первым в истории, вы должны оставить это поле пустым, и использовать поле ""заглавок истории""."
733,ru.stories.infographic.hint.description,"The description will appear below the infographic. If this Infographic Section is first in the story, the Story Summary will appear below the infographic image so if the Story Summary and Infographic Description are the same, you should leave this field blank.","Описание появится под инфографикой. Если этот раздел инфографики является первым в истории, конспект появится под изображения инфографики, так что если конспект и описание новой инфографики сходятся со старой, вы должны оставить это поле пустым."
734,ru.stories.infographic.hint.image,Only jpg and png format allowed; 8MB file size limit,Разрешен только формат JPG и PNG. максимум размер файла 8MB
735,ru.stories.infographic.hint.dataset_file,Please try to compress files to make for quicker download; 25MB file size limit,"Пожалуйста, попробуйте сжимать файлы, для более быстрого скачивания; 25 MB ограничение на размер файла"
736,ru.stories.infographic.hint.dataset_url,URL to Dataset,URL для набора данных
737,ru.stories.infographic.hint.subtype,"Static infographics are images, Dynamic infographics require a URL.","Статические инфографики это изображения, Динамические инфографика требуют URL."
738,ru.stories.infographic.hint.dynamic_url,URL to web page with interactive infographic,URL к веб-странице с интерактивной инфографикой
739,ru.stories.infographic.hint.dynamic_size,Use these fields to indicate the space you want to reserve for showing this infographic. Leave the fields empty if you want the infographic to be fullscreen. The minimum value is 200.,"Используйте эти поля, чтобы зарезервировать площадь, для показа этой инфографики. Оставьте поля пустыми, если вы хотите инфографики быть полноэкранный.Минимальное значение 200."
740,ru.stories.infographic.hint.dynamic_render,The infographic can be rendered in the story or in a popup that appears after the user clicks on the infogaphic image in the story. Use the popup option if the infogaphic takes up the full screen or is very long.,The infographic can be rendered in the story or in a popup that appears after the user clicks on the infogaphic image in the story. Use the popup option if the infogaphic takes up the full screen or is very long.
741,ru.stories.infographic_datasource_fields.placeholder.url,optional,опционально
742,ru.stories.infographic_datasource_fields.hint.name,Name of the data source,Название источника данных
743,ru.stories.infographic_datasource_fields.hint.url,URL to the online data source,URL для онлайн источника данных
744,ru.storyteller.byline,By,Oт
745,ru.storyteller.byline_media,Photos and videos by,Фото и видео от
746,ru.storyteller.byline_translator,Translated by,Переводчик
747,ru.storyteller.source,Source:,Источник
748,ru.storyteller.by,by,От
749,ru.storyteller.related_stories,Related Stories,Также по теме
750,ru.storyteller.view_all_stories_in,View all stories in,Просмотреть все истории в
751,ru.storyteller.infographic.source,Data Source,Data Source
752,ru.storyteller.infographic.dataset,Related Items,Related Items
753,ru.storyteller.infographic.download,Download File,Download File
754,ru.storyteller.infographic.online,View Data Online,View Data Online
755,ru.settings.index.title,Settings,Настройки
